ParName   Value   Gradient
theta[1]      0.29079   0.00027148
theta[2]     0.270216  0.000140619
theta[5]      5.27344  -0.00633847
theta[13]      8.84456  6.29579e-07
theta[14]       8.8562 -1.11612e-05
theta[15]      8.92376 -7.15991e-06
theta[16]      9.30011  6.84762e-06
theta[17]      9.98496  5.83978e-06
theta[18]      10.7619  2.17042e-05
theta[19]      11.4508  6.87101e-07
theta[20]      11.6913   5.1968e-05
theta[21]      11.6069  2.03182e-06
theta[22]      11.6468  3.70789e-06
theta[23]      11.7285  2.64751e-06
theta[24]      11.5626 -1.01788e-05
theta[25]      11.3851  6.26286e-06
theta[26]      11.3055 -3.33585e-05
theta[27]      11.3364 -2.10115e-05
theta[28]      11.1218 -4.95953e-05
theta[29]       10.433  6.51213e-05
theta[30]      9.54787 -3.46033e-06
theta[31]      8.52733  2.03231e-05
theta[32]      7.53585   9.3458e-06
theta[33]      6.74307 -1.64593e-05
theta[34]      6.31188  -3.1238e-05
theta[35]      13.7389 -3.59261e-06
theta[36]      13.4453  5.56987e-05
theta[37]      13.0178  4.87355e-05
theta[38]      13.1047  0.000108414
theta[39]      12.3888  9.61397e-05
theta[40]      12.4595  0.000120763
theta[41]      12.2984  0.000102413
theta[42]      11.9244  8.49406e-05
theta[43]      11.6222  9.10075e-05
theta[44]      11.1815  7.37338e-05
theta[45]      10.5083  2.39652e-05
theta[46]      10.1043  3.83123e-05
theta[47]      9.96545  4.94356e-05
theta[48]      9.31407  1.17953e-05
theta[49]      8.16051  1.35789e-05
theta[50]      7.12935  9.46171e-06
theta[51]      6.35057  -4.7244e-06
theta[52]      5.78856 -9.45371e-06
theta[53]      5.38143  5.93803e-06
theta[54]      5.08257 -1.70999e-06
theta[55]      4.87648 -1.45301e-05
theta[56]       4.7711 -1.17755e-05
theta[57]      9.62944 -4.66384e-06
theta[58]      9.68543  1.27857e-06
theta[59]      9.99313 -6.17998e-06
theta[60]      11.0261 -6.18418e-06
theta[61]      12.7818  7.51651e-05
theta[62]       13.773  -6.9649e-05
theta[63]      13.3235 -2.90165e-05
theta[64]      12.3538 -1.45137e-05
theta[65]      11.2889  -6.0403e-05
theta[66]      10.1113 -5.16617e-05
theta[67]      9.29899 -5.52964e-05
theta[68]      8.75798 -2.27541e-05
theta[69]      8.41352  -5.1704e-05
theta[70]      8.11388 -3.42844e-05
theta[71]      7.82997 -1.17182e-05
theta[72]      7.54335 -4.45748e-05
theta[73]       7.2904 -3.94979e-05
theta[74]      7.07063 -1.79235e-05
theta[75]      6.88576 -2.96166e-05
theta[76]      6.73913 -2.57652e-05
theta[77]      6.63519 -1.93412e-05
theta[78]      6.57955 -1.96984e-05
theta[79]     -16.3485 -2.46881e-08
theta[80]     -16.3981  1.54771e-07
theta[81]     -16.6647 -8.26345e-06
