ParName   Value   Gradient
theta[1]     0.292929 -0.000287239
theta[2]     0.273845   0.00015833
theta[5]      6.23493  0.000786695
theta[13]      9.56866  1.26142e-06
theta[14]      9.58242 -6.63727e-06
theta[15]      9.63473 -5.42056e-06
theta[16]      9.86653  1.24902e-06
theta[17]      10.5683 -1.17894e-06
theta[18]      11.2474 -2.21388e-06
theta[19]      11.6835  3.61767e-06
theta[20]      11.8624   3.5719e-06
theta[21]      11.8982  9.92002e-06
theta[22]      11.9258  7.44077e-06
theta[23]      11.9231  8.97311e-06
theta[24]      11.7139   7.1804e-06
theta[25]      11.4944  5.09013e-07
theta[26]      11.3322  3.87848e-05
theta[27]      11.3671  8.55334e-05
theta[28]      11.1654  0.000146661
theta[29]      10.4616  0.000189911
theta[30]      9.57421   8.6961e-05
theta[31]      8.55552  5.32634e-05
theta[32]      7.56424  2.36708e-05
theta[33]      6.76988  1.33128e-05
theta[34]      6.33753  7.41428e-07
theta[35]      14.0395  0.000105686
theta[36]      13.7538  5.86429e-05
theta[37]      13.2983  5.57372e-05
theta[38]      13.3444  9.36382e-05
theta[39]      12.6737  7.95399e-05
theta[40]      12.7101  9.55415e-05
theta[41]       12.493  0.000114765
theta[42]      12.1304  0.000120881
theta[43]      11.8132  0.000116938
theta[44]      11.3723  0.000112171
theta[45]      10.6945  6.88464e-05
theta[46]      10.2572  7.09526e-05
theta[47]      10.0864   9.5388e-05
theta[48]      9.44192  7.18714e-05
theta[49]       8.2912  3.34174e-05
theta[50]      7.25171  1.10267e-05
theta[51]      6.46126  4.26901e-06
theta[52]      5.88934  6.80881e-06
theta[53]      5.47482  7.51268e-06
theta[54]      5.17049 -4.13894e-06
theta[55]      4.96056  8.06968e-06
theta[56]      4.85325  4.05966e-06
theta[57]      11.2346 -5.47834e-06
theta[58]      11.4085  4.00075e-06
theta[59]      11.7059 -8.56775e-06
theta[60]      12.1861  4.47946e-06
theta[61]      13.2433 -1.86778e-05
theta[62]      13.5707  2.37166e-05
theta[63]      13.1163 -2.03432e-05
theta[64]      12.2852 -3.67544e-05
theta[65]      11.2416 -2.01861e-05
theta[66]      10.0854 -2.58857e-05
theta[67]      9.27872 -3.21625e-05
theta[68]      8.71347 -3.01983e-05
theta[69]      8.37913 -2.48904e-05
theta[70]      8.09739 -1.23477e-05
theta[71]      7.82665 -1.23038e-05
theta[72]      7.54973 -1.66059e-05
theta[73]      7.30407  -1.2407e-05
theta[74]      7.08964 -3.30039e-06
theta[75]      6.90873 -1.47905e-05
theta[76]      6.76516 -2.10451e-05
theta[77]      6.66357 -2.71159e-05
theta[78]      6.60932 -1.80552e-05
theta[79]     -13.4745 -4.99415e-06
theta[80]     -13.4476 -4.13835e-06
theta[81]      -13.596 -4.93307e-06
theta[82]       -13.59 -1.41998e-06
