ParName   Value   Gradient
theta[1]     0.291988  0.000132263
theta[2]     0.280087 -2.17465e-05
theta[5]      6.92889  -0.00140193
theta[13]      11.7617  -1.9121e-06
theta[14]      11.7784 -1.67669e-06
theta[15]      11.8654  2.10457e-06
theta[16]      12.3183  4.63727e-06
theta[17]      12.9272 -3.50878e-06
theta[18]      13.3901 -6.06672e-06
theta[19]      13.6785  5.42323e-06
theta[20]      13.6219  9.47282e-06
theta[21]      13.3047  6.64364e-06
theta[22]      13.2124 -2.82942e-06
theta[23]       13.241  8.47595e-08
theta[24]      13.0788  1.34067e-06
theta[25]      12.9985  6.01327e-06
theta[26]      13.1939  5.41428e-05
theta[27]      13.4846  9.30095e-05
theta[28]      13.1021  8.56404e-05
theta[29]      12.5453  7.87074e-05
theta[30]      11.9157  0.000123828
theta[31]      11.0031  4.77292e-05
theta[32]      9.88536  2.91778e-05
theta[33]      8.85029  1.68331e-05
theta[34]      8.26885  2.31082e-06
theta[35]      12.5695  6.47399e-05
theta[36]      12.6623  5.21069e-05
theta[37]      13.3306  9.24853e-05
theta[38]      13.7178  3.19449e-05
theta[39]      13.2727 -4.05786e-05
theta[40]      13.3828 -6.69141e-05
theta[41]      13.3255 -7.69903e-05
theta[42]      13.0798 -7.34556e-05
theta[43]      12.8808 -4.38025e-05
theta[44]      12.6984 -8.01793e-06
theta[45]      12.2245  6.80212e-06
theta[46]      11.6388  6.19132e-06
theta[47]      11.2343  1.96971e-05
theta[48]      10.6419   1.9536e-05
theta[49]        9.661  1.17298e-05
theta[50]      8.68065  4.57662e-06
theta[51]       7.8898  1.34957e-06
theta[52]      7.30616 -6.78821e-07
theta[53]       6.8939   2.3014e-06
theta[54]      6.61293   3.4199e-06
theta[55]      6.43508  1.35146e-06
theta[56]      6.34827  2.22221e-07
theta[57]      12.7972  3.38434e-06
theta[58]      12.7991 -4.68133e-06
theta[59]      12.8167 -1.00525e-06
theta[60]       13.064  1.31739e-05
theta[61]      13.8313  1.84354e-06
theta[62]      14.1355  2.27316e-05
theta[63]      13.4024  3.02493e-05
theta[64]      12.2367   2.6406e-05
theta[65]      11.0967  3.74037e-06
theta[66]      9.88373  9.93647e-07
theta[67]      9.11689  8.19861e-06
theta[68]      8.62481  1.04455e-06
theta[69]      8.32479  1.98302e-06
theta[70]      8.08244  4.55084e-06
theta[71]      7.86453  4.45931e-06
theta[72]      7.65258  4.00375e-06
theta[73]      7.47178  3.44151e-06
theta[74]      7.31979  3.52091e-06
